NAME                                        ID              SIZE      MODIFIED   
qwen3:14b                                   bdbd181c33f2    9.3 GB    6 days ago    
freehuntx/qwen3-coder:14b                   c4df7399b89e    9.3 GB    6 days ago    
hir0rameel/qwen-claude:latest               87381b6b55a9    5.2 GB    6 days ago    
freehuntx/qwen3-coder:8b                    2a84e11f213d    5.2 GB    6 days ago    
qwen3:8b                                    500a1f067a9f    5.2 GB    6 days ago    
kirito1/qwen3-coder:latest                  257a8682ad69    2.6 GB    6 days ago    
qwen2.5-coder:14b                           9ec8897f747e    9.0 GB    7 days ago    
qwen2.5-coder:7b                            dae161e27b0e    4.7 GB    7 days ago    
starcoder2:15b                              21ae152d49e0    9.1 GB    7 days ago    
deepscaler:latest                           0031bcf7459f    3.6 GB    7 days ago    
dolphin3:latest                             d5ab9ae8e1f2    4.9 GB    7 days ago    
deepseek-r1:14b                             c333b7232bdb    9.0 GB    8 days ago    
BlackDream/blue-orchid-2x7b:latest          87fc1d305675    7.8 GB    8 days ago    
adi0adi/ollama_stheno-8b_v3.1_q6k:latest    2e09a0a33c6c    6.6 GB    8 days ago    
technobyte/mn-12b-starcannon-v2:latest      c78760ba37dd    5.7 GB    8 days ago    
duckyblender/smegmma:latest                 74d767d3903c    5.8 GB    8 days ago    
openthinker:7b                              4e61774f7d1c    4.7 GB    8 days ago    
nemotron-mini:latest                        ed76ab18784f    2.7 GB    8 days ago    
llama2-uncensored:7b                        44040b922233    3.8 GB    8 days ago    
wizardlm-uncensored:13b                     886a369d74fc    7.4 GB    8 days ago    
openhermes:7b-mistral-v2.5-q4_K_M           e898ef9a562f    4.4 GB    8 days ago    
dolphin-mistral:7b                          5dc8c5a2be65    4.1 GB    8 days ago    
nous-hermes2:10.7b                          d50977d0b36a    6.1 GB    8 days ago    
mistral:7b-instruct                         6577803aa9a0    4.4 GB    8 days ago    
deepseek-coder-v2:16b                       63fb193b3a9b    8.9 GB    8 days ago    
deepseek-coder:6.7b                         ce298d984115    3.8 GB    8 days ago    
llama3:latest                               365c0bd3c000    4.7 GB    9 days ago    
